episode_id,rung,rep,label,was_correct,now_correct,now_correct_checks_parser,resumed_from,steps_before,steps_after,model_calls,checks_flag_before,checks_flag_after
organic-demo-001,none,1,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-001,none,2,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-001,none,3,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-001,resample,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,resample,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,resample,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,generic,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,generic,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,generic,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,located,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-001,located,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,located,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,specific,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,specific,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,specific,3,arithmetic_error,False,False,False,10,12,13,3,True,True
organic-demo-001,adaptive,1,arithmetic_error,False,True,True,10,12,13,3,True,False
organic-demo-001,adaptive,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,adaptive,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,recompute,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,recompute,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-001,recompute,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-002,none,1,incomplete,False,False,True,9,9,9,0,True,True
organic-demo-002,none,2,incomplete,False,False,True,9,9,9,0,True,True
organic-demo-002,none,3,incomplete,False,False,True,9,9,9,0,True,True
organic-demo-002,resample,1,incomplete,False,False,False,7,9,12,5,True,True
organic-demo-002,resample,2,incomplete,False,True,True,7,9,12,5,True,False
organic-demo-002,resample,3,incomplete,False,False,False,7,9,12,5,True,True
organic-demo-002,generic,1,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,generic,2,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,generic,3,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,located,1,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-002,located,2,incomplete,False,True,True,7,9,12,5,True,False
organic-demo-002,located,3,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-002,specific,1,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-002,specific,2,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-002,specific,3,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-002,adaptive,1,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,adaptive,2,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,adaptive,3,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,recompute,1,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,recompute,2,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-002,recompute,3,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-010,none,1,hallucinated,False,False,False,11,11,11,0,True,True
organic-demo-010,none,2,hallucinated,False,False,False,11,11,11,0,True,True
organic-demo-010,none,3,hallucinated,False,False,False,11,11,11,0,True,True
organic-demo-010,resample,1,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,resample,2,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,resample,3,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,generic,1,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,generic,2,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,generic,3,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,located,1,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,located,2,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,located,3,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,specific,1,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,specific,2,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,specific,3,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,adaptive,1,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,adaptive,2,hallucinated,False,False,False,9,11,12,3,True,True
organic-demo-010,adaptive,3,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,recompute,1,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,recompute,2,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-010,recompute,3,hallucinated,False,False,False,9,11,11,2,True,True
organic-demo-015,none,1,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-015,none,2,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-015,none,3,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-015,resample,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,resample,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,resample,3,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-015,generic,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,generic,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,generic,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,located,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,located,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,located,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,specific,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,specific,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,specific,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,adaptive,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,adaptive,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,adaptive,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,recompute,1,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,recompute,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-015,recompute,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-016,none,1,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-016,none,2,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-016,none,3,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-016,resample,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,resample,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,resample,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,generic,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,generic,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,generic,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,located,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,located,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,located,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,specific,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,specific,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,specific,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,adaptive,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,adaptive,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,adaptive,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,recompute,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,recompute,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-016,recompute,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-017,none,1,arithmetic_error,False,False,False,13,13,13,0,True,True
organic-demo-017,none,2,arithmetic_error,False,False,False,13,13,13,0,True,True
organic-demo-017,none,3,arithmetic_error,False,False,False,13,13,13,0,True,True
organic-demo-017,resample,1,arithmetic_error,False,False,False,10,13,12,2,True,True
organic-demo-017,resample,2,arithmetic_error,False,False,False,10,13,13,3,True,True
organic-demo-017,resample,3,arithmetic_error,False,False,False,10,13,13,3,True,True
organic-demo-017,generic,1,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,generic,2,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,generic,3,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,located,1,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,located,2,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,located,3,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,specific,1,arithmetic_error,False,False,False,10,13,12,2,True,True
organic-demo-017,specific,2,arithmetic_error,False,True,True,10,13,13,3,True,False
organic-demo-017,specific,3,arithmetic_error,False,True,True,10,13,13,3,True,False
organic-demo-017,adaptive,1,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,adaptive,2,arithmetic_error,False,False,False,10,13,12,2,True,True
organic-demo-017,adaptive,3,arithmetic_error,False,False,False,10,13,12,2,True,True
organic-demo-017,recompute,1,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,recompute,2,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-017,recompute,3,arithmetic_error,False,True,True,10,13,12,2,True,False
organic-demo-018,none,1,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-018,none,2,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-018,none,3,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-018,resample,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,resample,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,resample,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,generic,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,generic,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,generic,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,located,1,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-018,located,2,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-018,located,3,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-018,specific,1,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-018,specific,2,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-018,specific,3,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-018,adaptive,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,adaptive,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,adaptive,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,recompute,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,recompute,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-018,recompute,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-019,none,1,incomplete,False,False,True,9,9,9,0,True,True
organic-demo-019,none,2,incomplete,False,False,True,9,9,9,0,True,True
organic-demo-019,none,3,incomplete,False,False,True,9,9,9,0,True,True
organic-demo-019,resample,1,incomplete,False,True,True,7,9,12,5,True,False
organic-demo-019,resample,2,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-019,resample,3,incomplete,False,True,True,7,9,12,5,True,False
organic-demo-019,generic,1,incomplete,False,False,False,7,9,9,2,True,True
organic-demo-019,generic,2,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-019,generic,3,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-019,located,1,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-019,located,2,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-019,located,3,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-019,specific,1,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-019,specific,2,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-019,specific,3,incomplete,False,False,False,7,9,11,4,True,True
organic-demo-019,adaptive,1,incomplete,False,False,False,7,9,9,2,True,True
organic-demo-019,adaptive,2,incomplete,False,False,False,7,9,9,2,True,True
organic-demo-019,adaptive,3,incomplete,False,False,False,7,9,9,2,True,True
organic-demo-019,recompute,1,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-019,recompute,2,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-019,recompute,3,incomplete,False,False,True,7,9,9,2,True,True
organic-demo-022,none,1,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-022,none,2,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-022,none,3,arithmetic_error,False,False,False,11,11,11,0,True,True
organic-demo-022,resample,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,resample,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,resample,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,generic,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,generic,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,generic,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,located,1,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-022,located,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,located,3,arithmetic_error,False,False,True,9,11,12,3,True,False
organic-demo-022,specific,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,specific,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,specific,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,adaptive,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,adaptive,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,adaptive,3,arithmetic_error,False,True,True,9,11,12,3,True,False
organic-demo-022,recompute,1,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,recompute,2,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-022,recompute,3,arithmetic_error,False,False,False,9,11,11,2,True,True
organic-demo-028,none,1,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-028,none,2,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-028,none,3,arithmetic_error,False,False,False,12,12,12,0,True,True
organic-demo-028,resample,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,resample,2,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-028,resample,3,arithmetic_error,False,False,False,10,12,12,2,True,True
organic-demo-028,generic,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,generic,2,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,generic,3,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,located,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,located,2,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,located,3,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,specific,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,specific,2,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,specific,3,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,adaptive,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,adaptive,2,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,adaptive,3,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,recompute,1,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,recompute,2,arithmetic_error,False,True,True,10,12,12,2,True,False
organic-demo-028,recompute,3,arithmetic_error,False,True,True,10,12,12,2,True,False
